id,rating,title,content,author,date,helpful_votes,verified_purchase
r001,5,운동할 때 최고,러닝하면서 매일 사용하고 있는데 귀에서 절대 안 빠집니다. 땀 많이 흘려도 방수 잘 되네요.,러너김,2024-01-15,12,true
r002,4,음질 좋지만 통화 품질은 아쉬워요,음악 들을 때 저음 타격감이랑 해상력은 가격 대비 훌륭합니다. 다만 지하철에서 통화할 때 상대방이 제 목소리보다 주변 소음이 더 크게 들린다고 하네요.,사운드매니아,2024-01-16,8,true
r003,5,노이즈 캔슬링 대박,독서실이랑 카페에서 공부할 때 쓰는데 에어컨 소리나 말소리 거의 완벽하게 차단해 줍니다. 집중력 완전 올라갔어요.,열공생,2024-01-18,15,true
r004,3,귀가 작으면 불편할 수 있어요,소리는 괜찮은데 유닛이 약간 큰 편이라 1시간 이상 끼고 있으면 귓바퀴가 욱신거립니다. 이어팁 제일 작은 걸로 바꿔도 살짝 압박감이 있어요.,이어팁요정,2024-01-20,5,true
r005,5,에어팟보다 나은 것 같아요,가성비 최고입니다. 이 가격에 노이즈 캔슬링이랑 멀티포인트 연결까지 지원하다니 대만족입니다.,가성비추구,2024-01-22,23,true
r006,4,방수는 IPX4 정도,비 오는 날 잠깐 맞았는데 작동은 잘 됩니다. 완전 침수만 아니면 일상 방수는 무난한 듯.,날씨요정,2024-01-25,3,true
r007,2,블루투스 연결이 자주 끊겨요,사람 많은 환승역(신도림, 강남)만 가면 음악이 뚝뚝 끊겨서 너무 스트레스 받습니다. 펌웨어 업데이트해도 비슷하네요.,통근러,2024-01-28,19,true
r008,5,배터리 진짜 오래 가요,완충하면 하루 종일 써도 케이스 배터리가 절반 이상 남아있습니다. 출퇴근용으로 일주일에 한 번만 충전해도 충분해요.,배터리괴물,2024-02-01,11,true
r009,4,케이스가 좀 미끄러워요,이어폰 자체는 가볍고 좋은데 케이스 재질이 너무 매끄러워서 주머니에서 꺼내다가 손에서 몇 번 놓칠 뻔했습니다. 케이스 커버 필수.,덜렁이,2024-02-03,4,true
r010,5,저음이 풍부해요,베이스가 정말 웅장하게 울려서 힙합이나 EDM 들을 때 신납니다. 고음도 찢어지지 않고 균형이 잘 맞아요.,비트장인,2024-02-05,9,true
r011,1,한쪽이 충전이 안 됩니다,구입한 지 2주 만에 오른쪽 유닛이 충전 크래들에 꽂아도 충전이 안 되네요. AS 접수했는데 처리 과정이 답답합니다.,화난구매자,2024-02-07,14,true
r012,3,앱이 좀 불편해요,이어폰 성능 자체는 무난한데 전용 스마트폰 앱 인터페이스가 복잡하고 가끔 페어링 인식을 못합니다. 앱 개선이 시급함.,UI러버,2024-02-10,6,true
r013,5,사무실용으로 샀는데 대만족,주변 키보드 치는 소리, 잡담 소리 잘 막아줘서 업무 효율이 2배로 올랐습니다. 주변 소리 듣기 모드도 자연스러워요.,직장인A,2024-02-12,7,true
r014,4,가벼워서 착용감 굿,무게가 가벼워서 귀에 부담이 거의 없습니다. 장시간 인강 들을 때 최고네요.,취준생,2024-02-14,2,true
r015,2,바람 부는 날 윈드노이즈 심함,야외에서 걸을 때 맞바람이 불면 마이크 쪽으로 바람 소리가 쉭쉭 크게 유입됩니다. 바람 심한 날엔 노캔 끄고 다녀요.,바람돌이,2024-02-18,17,true
r016,5,선물용으로 줬는데 좋아하네요,동생 생일 선물로 사줬는데 디자인도 깔끔하고 통화할 때 목소리도 잘 들린다고 만족해합니다.,착한형,2024-02-20,1,true
r017,4,무선 충전 지원은 편함,케이스 무선 충전 패드에 올려두면 알아서 충전되니까 케이블 꽂을 필요 없어서 편하네요.,테크충,2024-02-22,8,true
r018,3,게임할 때 지연시간 약간 있음,유튜브나 넷플릭스 볼 땐 싱크 잘 맞는데 FPS 모바일 게임 할 때는 총소리가 미세하게 반 박자 늦게 들립니다.,게이머K,2024-02-25,10,true
r019,5,가성비 끝판왕,10만 원 미만에서 이 정도 액티브 노이즈 캔슬링 성능을 내는 제품은 단연코 없습니다.,리뷰어,2024-02-27,31,true
r020,4,터치 오작동이 가끔 발생,이어폰 고쳐 쓰려고 만질 때 터치 센서가 인식돼서 음악이 멈추는 경우가 종종 있습니다. 터치 민감도 조절이 필요해 보여요.,깔끔이,2024-03-01,6,true
r021,5,러닝 10km 뛰어도 안 빠져요,이어윙 덕분인지 한강 러닝 10km 내내 한 번도 안 빠졌습니다. 땀 흘려도 미끄러지는 느낌 없어요.,한강러너,2024-03-03,22,true
r022,2,배터리 광고랑 다릅니다,ANC 켜고 쓰면 광고에 나온 8시간은커녕 4시간 반이면 방전됩니다. 과장 광고 아닌가요.,실망함,2024-03-04,45,true
r023,4,지하철 소음 잘 잡아줍니다,2호선 출퇴근할 때 쓰는데 지하철 특유의 쇳소리가 확실히 줄어듭니다. 다만 안내방송은 들려서 오히려 좋네요.,출근러,2024-03-05,17,true
r024,1,한 달 만에 한쪽이 안 켜져요,잘 쓰다가 정확히 한 달째 되는 날 왼쪽 유닛이 충전도 안 되고 켜지지도 않습니다. AS 접수했는데 답답하네요.,불운의사나이,2024-03-06,38,true
r025,5,저음이 정말 묵직해요,힙합이나 EDM 위주로 듣는데 저음 타격감이 이 가격대에서는 압도적입니다. 베이스가 뭉개지지 않고 단단해요.,비트조아,2024-03-07,19,true
r026,3,통화는 조용한 곳에서만 쓸만해요,사무실에서 통화할 땐 문제 없는데 길거리에서 하면 상대방이 바람소리 때문에 못 알아듣겠다고 합니다.,영업맨,2024-03-08,26,true
r027,4,케이스가 생각보다 작아요,주머니에 넣어도 티가 안 날 정도로 작고 가볍습니다. 휴대성만큼은 만족스럽네요.,미니멀리스트,2024-03-09,7,true
r028,5,수면용으로도 씁니다,옆에서 코 고는 소리가 노이즈캔슬링으로 거의 안 들립니다. 이것만으로도 산 값 합니다.,잠못드는밤,2024-03-10,33,true
r029,2,착용감이 최악입니다,귀가 작은 편인데 30분만 껴도 귓구멍이 아파서 못 쓰겠어요. 이어팁 다 바꿔봐도 압박감이 심합니다.,귀작은사람,2024-03-11,29,true
r030,4,빠른 충전 좋네요,10분 충전하면 한 시간 넘게 쓸 수 있어서 급할 때 정말 유용합니다.,급한사람,2024-03-12,11,true
r031,5,헬스장에서 3개월째 사용중,웨이트할 때 고개 숙여도 안 빠지고 땀 범벅이 돼도 고장 없이 잘 버팁니다. 운동용으로 강추.,쇠질러,2024-03-13,41,true
r032,3,고음이 좀 쏘는 편,저음은 좋은데 여성 보컬 고음 부분에서 치찰음이 좀 거슬립니다. 이퀄라이저로 조금 잡히긴 해요.,클래식러버,2024-03-14,14,true
r033,4,앱 연동이 편리합니다,전용 앱에서 노이즈캔슬링 강도랑 터치 기능을 커스텀할 수 있어서 좋아요. 펌웨어 업데이트도 잘 나옵니다.,얼리어답터,2024-03-15,9,true
r034,1,페어링이 자꾸 끊깁니다,노트북이랑 폰 왔다갔다 하면 연결이 자꾸 끊어져서 매번 재페어링해야 합니다. 멀티포인트 제대로 되는 거 맞나요?,빡친개발자,2024-03-16,52,true
r035,5,가성비 최고입니다,10만원대에서 이만한 성능 찾기 어렵습니다. 20만원대 제품이랑 비교해도 크게 안 밀려요.,알뜰소비자,2024-03-17,36,true
r036,4,윈드노이즈는 어쩔 수 없네요,실내에서는 완벽한데 바람 부는 날 밖에서는 윈드노이즈가 좀 들어옵니다. 이건 어느 제품이든 마찬가지겠죠.,바람돌이,2024-03-18,13,true
r037,3,무난하지만 특별하진 않아요,딱히 흠잡을 데는 없는데 그렇다고 감동적이지도 않습니다. 그냥 무난한 제품.,평범한사람,2024-03-19,4,true
r038,5,장시간 착용해도 편해요,재택근무하면서 6시간씩 끼고 있는데 귀 아픈 느낌이 거의 없습니다. 오픈형만 쓰다가 처음으로 커널형에 정착했어요.,재택러,2024-03-20,27,true
r039,2,노이즈캔슬링 강도가 약합니다,ANC 켜도 카페 말소리가 다 들립니다. 저가형 수준이에요. 기대가 컸나 봅니다.,깐깐이,2024-03-21,31,true
r040,4,영상 볼 때 싱크 잘 맞아요,유튜브랑 넷플릭스 볼 때 입모양이랑 소리가 어긋나는 느낌 전혀 없습니다.,넷플중독,2024-03-22,8,true
r041,5,비 맞아도 멀쩡합니다,소나기 맞으면서 20분 뛰었는데 아무 이상 없네요. 방수 성능 믿을 만합니다.,장마철러너,2024-03-23,24,true
r042,3,터치 조작이 익숙해지는데 시간 걸려요,두 번 탭 세 번 탭 구분하기가 처음엔 헷갈립니다. 일주일 정도 쓰니까 손에 익네요.,적응중,2024-03-24,6,true
r043,4,통화 품질 나쁘지 않습니다,조용한 실내에서 통화하면 상대방이 유선 이어폰인 줄 알았다고 하더라구요. 시끄러운 데선 좀 아쉽고요.,통화많은직장인,2024-03-25,18,true
r044,1,두 달 만에 배터리 반토막,처음엔 6시간 넘게 갔는데 두 달 지나니 3시간도 못 버팁니다. 배터리 열화가 너무 빠르네요.,배신감,2024-03-26,47,true
r045,5,해상력이 좋습니다,악기 하나하나가 분리돼서 들립니다. 이 가격에 이 정도 해상력이면 인정.,음향덕후,2024-03-27,21,true
r046,4,케이스 마감이 아쉽지만 성능은 좋아요,케이스 힌지 부분이 좀 헐렁한 느낌인데 이어폰 성능 자체는 만족합니다.,꼼꼼이,2024-03-28,10,true
r047,3,안경 쓰면 좀 불편해요,안경다리랑 이어폰이 살짝 간섭이 있어서 오래 쓰면 귀 뒤가 아픕니다.,안경잡이,2024-03-29,12,true
r048,5,출장 비행기에서 신세계,비행기 엔진 소리가 확 줄어드니까 장거리 비행이 완전히 다른 경험이 됐습니다.,출장러,2024-03-30,39,true
r049,2,연결 지연이 심합니다,폰 켜고 이어폰 꺼내면 연결되는 데 10초 넘게 걸립니다. 급할 때 답답해요.,성격급함,2024-03-31,23,true
r050,4,디자인이 예쁩니다,무광 재질에 로고도 튀지 않아서 깔끔합니다. 착용했을 때 튀어나오는 느낌도 적어요.,디자인중시,2024-04-01,15,true
r051,5,러닝머신에서도 안 빠져요,헬스장 러닝머신에서 시속 12로 뛰어도 미동도 없습니다. 운동용으로 이만한 게 없네요.,트레드밀,2024-04-02,28,true
r052,3,저음이 과한 편,저음이 너무 강조돼서 클래식이나 재즈 들을 땐 답답합니다. 장르 타는 튜닝이에요.,재즈애호가,2024-04-03,16,true
r053,4,ANC 켜고 끄는 차이가 확실합니다,켰다 껐다 하면 확실히 체감됩니다. 최상급은 아니지만 가격 생각하면 훌륭해요.,합리적소비,2024-04-04,20,true
r054,1,불량품 받았습니다,개봉하자마자 오른쪽에서 지지직 노이즈가 납니다. 교환 신청했는데 배송이 또 일주일이라네요.,운없음,2024-04-05,34,true
r055,5,통화 시 내 목소리가 잘 전달돼요,풍절음 감소 기능이 있는지 밖에서 통화해도 상대방이 잘 들린다고 합니다.,외근직,2024-04-06,25,true
r056,4,배터리 하루 종일 갑니다,ANC 끄고 쓰면 출근부터 퇴근까지 충전 없이 버팁니다. 케이스까지 하면 3일은 가요.,장기사용자,2024-04-07,17,true
r057,3,이어팁 종류가 부족해요,S M L 세 종류만 주는데 폼팁이라도 하나 넣어줬으면 좋았을 텐데요.,이어팁수집가,2024-04-08,9,true
r058,5,가격 대비 미쳤습니다,친구가 30만원짜리 쓰는데 블라인드로 들려주니 구분 못 하더라구요.,가성비헌터,2024-04-09,43,true
r059,2,터치 오작동 심해요,머리 넘기다가 스쳐도 음악이 멈춥니다. 하루에 몇 번씩 이러니 스트레스네요.,머리긴사람,2024-04-10,30,true
